,"Has image","Has tile","Drawn on tile","Knows pixel","Movement","Animations"
,,,,,,
"Tile","yes","N/A","yes","no","no","yes"
"Entity","yes","no","no","through Sprite","yes","yes"
"Monster","yes","no","no","through Sprite","yes","yes"
"Character","yes","no","no","through Sprite","yes","yes"
"Item","yes","no","no","through Sprite","no","yes"
"Overlay","yes","no","no","through Sprite","yes","yes"
"Sprite","N/A","N/A","no","yes","N/A","yes"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Key:",,,,,
,"Yes = this class requires this functionality",,,,,
,"No = this class does not reference this functionality",,,,,
,"Maybe = this class handles both using or not using this functionality based on its state",,,,,
